Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1,0,1,0,1,0
1,1,1,1,1,0,0,0,1,0,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,0,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
